Kód;Elnevezés;Ország;Tájegység;"Dátum (ÉÉÉÉ-HH-NN)";Napok;"Szállás (sator/turistahaz/apartman/hotel)";"Túramód (gyalogos/kerekparos/vizi/si/barlangi/munka)";Altípus;Km;"Magashegyi km";"Szintemelkedés (m)";"Magashegyi szintemelkedés (m)";"Túraidő (óra)";"Többnapos típusa (csillag/vandor)";"Eltöltött éjszakák";Hajóátemelések;"Vendég résztvevők";"Lizzardier pont";"MTSZ pont"
123;Pörgöl-barlang;HU;Bakony;2020-09-19;2;turistahaz;gyalogos;normal;31;;1400;;10;vandor;1;0;0;0;78
124;"Kőről kőre a Börzsönyben maraton IT";HU;Börzsöny;2020-09-19;1;;gyalogos;normal;40;;1500;;9;;0;0;0;0;90
138;"Mogyoróska - Regéc";HU;Zempléni-hegység;2020-09-12;1;;gyalogos;normal;8;;337;;;;0;0;0;0;19
121;"Kiskunság Instant Trail 50";HU;Kiskunság;2020-09-05;1;;gyalogos;normal;48;;432;;10;;0;0;0;0;81
492GY;"Cool túra az Őrségben";HU;Őrség;2020-09-04;2;apartman;gyalogos;normal;19;;250;;;csillag;1;0;2;5;35
120;"Városnapi Teljesítménytúrák Sülysáp 33 km";HU;Balatonfelvidék;2020-08-22;1;;gyalogos;normal;32;;388;;6;;0;0;0;0;56
137;"OKT-12. szakasz";HU;Pilis;2020-08-22;1;;gyalogos;normal;18;;530;;;;0;0;0;0;38
118;"Oltárkő, Csesznek";HU;Bakony;2020-08-21;1;;gyalogos;normal;16;;600;;6;;0;0;0;0;36
136;"OKT-15. szakasz";HU;Pilis;2020-08-21;1;;gyalogos;normal;22;;495;;;;0;0;0;0;43
117;"OKT 6-7-8. szakasz";HU;"Balaton felvidék, Bakony";2020-08-16;4;turistahaz;gyalogos;normal;97;;2310;;;vandor;3;0;0;0;201
119;"Kohász Kék TT 32";HU;"Heves-Borsodi dombság";2020-08-15;1;;gyalogos;normal;32;;880;;7;;0;0;0;0;66
116;"Balaton IVV 40";HU;Balaton;2020-08-02;1;;gyalogos;normal;39;;900;;8;;0;0;0;0;77
135;;AT;Steiermark;2020-07-26;5;hotel;gyalogos;normal;45;47;2330;2749;;vandor;5;0;0;0;395
115;"Szelidi-tó TT 22";HU;Kiskunság;2020-07-25;1;;gyalogos;normal;22;;34;;;;0;0;0;0;37
114;Kiskovácsi-Szentendre;HU;Pilis;2020-07-21;1;;gyalogos;normal;15;;920;;7;;0;0;0;0;41
112;"Gesause #3 - Palfau/Wasserlochklamm";AT;"Ybbstaler Alps";2020-07-12;1;;gyalogos;normal;5;;441;;2;;0;0;0;15;16
134;"OKT-16. szakasz";HU;Visegrádi-hegység;2020-07-12;1;;gyalogos;normal;24;;620;;;;0;0;0;0;48
111;"Bakonybél környékén";HU;Bakony;2020-07-11;2;turistahaz;gyalogos;normal;43;;1280;;;vandor;1;0;0;0;93
491K;"Bringás reggeli #1";HU;Pilis;2020-07-04;2;sator;kerekparos;mout;69;;320;;;vandor;1;0;0;4;41
110;"Csemő Virágünnepe 20 TT";HU;Nagykunság;2020-07-04;1;;gyalogos;normal;18;;25;;3;;0;0;0;0;31
133;;HU;Cserhát;2020-06-14;1;;gyalogos;normal;19;;587;;;;0;0;0;0;40
490GY;"Nomád túra a Tanúhegyeknél";HU;Balatonfelvidék;2020-06-13;2;sator;gyalogos;normal;34.8;;1134;;;vandor;1;0;0;8;78
108;Drégelyvár;HU;Börzsöny;2020-06-13;1;;gyalogos;normal;18;;870;;5;;0;0;0;0;44
132;"Schaffer-kút / Drégelyvár";HU;Börzsöny;2020-06-13;1;;gyalogos;normal;18;;742;;;;0;0;0;0;42
107;Lófingatúra;HU;Vértes;2020-06-07;1;;gyalogos;normal;21;;500;;7;;0;0;3;2;42
105;"Naszály kör";HU;Cserhát;2020-06-06;1;;gyalogos;normal;45;;1250;;10;;0;0;0;0;93
106;"Sisakvirág tanösvény";HU;Budai-hegység;2020-06-06;1;;gyalogos;normal;14;;400;;7;;0;0;0;0;29
131;Arka;HU;Zempléni-hegység;2020-06-06;1;;gyalogos;normal;20;;665;;;;0;0;0;0;43
103;"Porva-Csesznek - Bakonybél";HU;Bakony;2020-06-01;1;;gyalogos;normal;16;;560;;5;;0;0;0;0;35
104;**;HU;Bükk;2020-06-01;1;;gyalogos;normal;12;;540;;5;;0;0;0;0;29
130;"Királyrét - Csóványos";HU;Börzsöny;2020-06-01;1;;gyalogos;normal;22;;906;;;;0;0;0;0;51
101;"Nagykovácsi - Zsíros-hegy";HU;Budai-hegység;2020-05-30;1;;gyalogos;normal;15;;430;;4;;0;0;0;0;31
102;Szarvaskő;HU;Bükk;2020-05-30;1;;gyalogos;normal;39;;1690;;9;;0;0;0;0;92
129;Kopasz-erdő;HU;Budai-hegység;2020-05-30;1;;gyalogos;normal;12;;315;;;;0;0;0;0;24
100;"Ingó kövek";HU;Bakony;2020-05-25;1;;gyalogos;normal;18;;465;;4;;0;0;0;0;36
98;Gánt;HU;Vértes;2020-05-23;1;;gyalogos;normal;24;;440;;6;;0;0;0;0;45
